,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16731,768873009,Solec Kujawski,solec-kujawski,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie do wynajęcia,1350.0,PLN,4,yes,blok,46,three,600
16732,769415925,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę kawalerkę,1250.0,PLN,2,yes,blok,32,one,500
16733,638882312,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Do wynajęcia mieszkanie 36m2 nie umeblowane + balkon ( bezczynszowe ),1300.0,PLN,2,no,apartamentowiec,41,one,500
16734,769288632,Laskowice,laskowice,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,1500.0,PLN,1,yes,wolnostojacy,96,three,700
16735,768870060,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie na wynajem- Mieszka I,1500.0,PLN,3,yes,blok,42.78,two,200
16736,744826076,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie 2pokojowe,1400.0,PLN,Parter,yes,blok,50,two,340
16737,768865460,Osielsko,osielsko,,Kujawsko-pomorskie,kujawsko-pomorskie,Nowy apartament w Osielsku!!!,3500.0,PLN,2,yes,apartamentowiec,80,three,1000
16738,768862125,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Do wynajęcia kawalerka 33m2 na OsowejGórze,1000.0,PLN,2,no,blok,33,one,1
16739,743649078,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Bezczynszowe jasne, przestronne mieszkanie w centrum 68m2",2100.0,PLN,3,yes,kamienica,68,three,1
16740,768843368,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie trzypokojowe koło UMK, ulica Fałata",1950.0,PLN,1,yes,blok,50,three,1
